Stereotype	Stereotype_translated	N1_info	N1_info_translated	N2_info	N2_info_translated	Survey_stats
가난함	Poor	한국인, 일본인, 북미인, 미국인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Korean, Japanese, North American, American, Canadian, Oceanian, Australian, New Zealander, European, French, British	북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	North Koreans, North Korean defectors, Koreans, Southeast Asians, Vietnamese, Thais, South Asians, Southwest Asians, Nepalese, Sri Lankans, Uzbeks, Central and South Americans, Brazilians, Mexicans, Middle East-North Africans, Egyptians, Iranians, Sub-Saharan Africans, South Africans, Nigerians	{'백인': 0, '흑인': 28, '아랍인': 7, '동양인': 9, '한국인': 0, '중국인': 9, '일본인': 0, '북한 주민': 76, '북한이탈주민': 54, '조선족': 47, '동남아시아인': 44, '베트남인': 54, '태국인': 50, '서남아시아인': 40, '네팔인': 51, '스리랑카인': 54, '러시아·중앙아시아인': 9, '우즈베키스탄인': 22, '러시아인': 9, '북미인': 0, '미국인': 0, '캐나다인': 0, '중남미인': 12, '브라질인': 12, '멕시코인': 13, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 0, '프랑스인': 0, '영국인': 0, '중동·북아프리카인': 14, '이집트인': 20, '이란인': 20, '사하라 이남 아프리카인': 39, '남아프리카공화국인': 50, '나이지리아인': 53, 'no_stereo': 4}
디지털 문맹	Digital Literacy	북한 주민, 북한이탈주민, 조선족, 베트남인, 태국인, 네팔인, 스리랑카인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	North Koreans, North Korean defectors, Koreans, Vietnamese, Thais, Thais, Nepalese, Sri Lankans, Middle East-North Africans, Egyptians, Iranians, Sub-Saharan Africans, South Africans, Nigerians	러시아·중앙아시아인, 북미인, 중남미인, 오세아니아인, 뉴질랜드인, 유럽인	Russian-Central Asian, North American, Central and South American, Oceania, New Zealand, European	{'백인': 4, '흑인': 15, '아랍인': 10, '동양인': 3, '한국인': 3, '중국인': 6, '일본인': 5, '북한 주민': 51, '북한이탈주민': 24, '조선족': 25, '동남아시아인': 7, '베트남인': 10, '태국인': 8, '서남아시아인': 6, '네팔인': 13, '스리랑카인': 14, '러시아·중앙아시아인': 0, '우즈베키스탄인': 4, '러시아인': 3, '북미인': 1, '미국인': 3, '캐나다인': 2, '중남미인': 1, '브라질인': 3, '멕시코인': 3, '오세아니아인': 0, '호주인': 2, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 2, '영국인': 2, '중동·북아프리카인': 8, '이집트인': 11, '이란인': 13, '사하라 이남 아프리카인': 16, '남아프리카공화국인': 23, '나이지리아인': 25, 'no_stereo': 33}
난폭함	Unruly	동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 북미인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, North American, Canadian, Oceania, Australian, New Zealand, European, French, British, European, French, UK	중국인, 북한 주민, 조선족, 러시아인, 브라질인, 멕시코인, 이집트인, 이란인, 남아프리카공화국인	Chinese, North Koreans, Koreans, Russians, Brazilians, Mexicans, Egyptians, Iranians, and South Africans.	{'백인': 14, '흑인': 48, '아랍인': 25, '동양인': 1, '한국인': 4, '중국인': 49, '일본인': 3, '북한 주민': 14, '북한이탈주민': 8, '조선족': 48, '동남아시아인': 1, '베트남인': 2, '태국인': 1, '서남아시아인': 1, '네팔인': 1, '스리랑카인': 2, '러시아·중앙아시아인': 3, '우즈베키스탄인': 4, '러시아인': 24, '북미인': 1, '미국인': 7, '캐나다인': 2, '중남미인': 6, '브라질인': 16, '멕시코인': 20, '오세아니아인': 0, '호주인': 0, '뉴질랜드인': 0, '유럽인': 0, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 6, '이집트인': 12, '이란인': 25, '사하라 이남 아프리카인': 5, '남아프리카공화국인': 10, '나이지리아인': 7, 'no_stereo': 9}
사기 행각	Fraudulent behavior	북미인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인	North Americans, Canadians, Oceania, Australians, and New Zealanders	한국인, 중국인, 일본인, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 이집트인, 이란인	Korean, Chinese, Japanese, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Egyptian, Iranian	{'백인': 8, '흑인': 13, '아랍인': 9, '동양인': 4, '한국인': 13, '중국인': 49, '일본인': 9, '북한 주민': 7, '북한이탈주민': 10, '조선족': 44, '동남아시아인': 11, '베트남인': 15, '태국인': 13, '서남아시아인': 5, '네팔인': 6, '스리랑카인': 5, '러시아·중앙아시아인': 4, '우즈베키스탄인': 8, '러시아인': 8, '북미인': 2, '미국인': 3, '캐나다인': 2, '중남미인': 3, '브라질인': 5, '멕시코인': 6, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 3, '프랑스인': 3, '영국인': 3, '중동·북아프리카인': 7, '이집트인': 11, '이란인': 11, '사하라 이남 아프리카인': 7, '남아프리카공화국인': 8, '나이지리아인': 8, 'no_stereo': 19}
악취/불쾌한 냄새	Foul/unpleasant odors	한국인, 일본인	Korean, Japanese	중국인, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 미국인, 캐나다인, 중남미인, 브라질인, 멕시코인, 유럽인, 프랑스인, 영국인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, American, Canadian, Central and South American, Brazilian, Mexican, European, French, British, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, and Nigerian.	{'백인': 29, '흑인': 38, '아랍인': 30, '동양인': 4, '한국인': 1, '중국인': 36, '일본인': 1, '북한 주민': 5, '북한이탈주민': 6, '조선족': 12, '동남아시아인': 13, '베트남인': 18, '태국인': 15, '서남아시아인': 13, '네팔인': 18, '스리랑카인': 19, '러시아·중앙아시아인': 8, '우즈베키스탄인': 13, '러시아인': 8, '북미인': 8, '미국인': 11, '캐나다인': 9, '중남미인': 10, '브라질인': 12, '멕시코인': 14, '오세아니아인': 5, '호주인': 8, '뉴질랜드인': 5, '유럽인': 10, '프랑스인': 12, '영국인': 12, '중동·북아프리카인': 19, '이집트인': 19, '이란인': 26, '사하라 이남 아프리카인': 18, '남아프리카공화국인': 23, '나이지리아인': 24, 'no_stereo': 20}
수직적인 남녀관계	Vertical gender relations	오세아니아인, 호주인, 뉴질랜드인	Oceania, Australia, and New Zealand	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 러시아인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean ethnicity, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, Russian, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian	{'백인': 5, '흑인': 5, '아랍인': 42, '동양인': 16, '한국인': 35, '중국인': 18, '일본인': 38, '북한 주민': 37, '북한이탈주민': 13, '조선족': 12, '동남아시아인': 13, '베트남인': 14, '태국인': 13, '서남아시아인': 12, '네팔인': 12, '스리랑카인': 13, '러시아·중앙아시아인': 9, '우즈베키스탄인': 11, '러시아인': 10, '북미인': 4, '미국인': 4, '캐나다인': 4, '중남미인': 7, '브라질인': 7, '멕시코인': 8, '오세아니아인': 2, '호주인': 2, '뉴질랜드인': 2, '유럽인': 5, '프랑스인': 5, '영국인': 5, '중동·북아프리카인': 30, '이집트인': 38, '이란인': 44, '사하라 이남 아프리카인': 16, '남아프리카공화국인': 20, '나이지리아인': 17, 'no_stereo': 9}
낮은 여성 인권	Low women's rights	북미인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	North American, Canadian, Oceanian, Australian, New Zealand, European, French, and British	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean ethnicity, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepali, Sri Lankan, Uzbek, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian, South African	{'백인': 2, '흑인': 16, '아랍인': 44, '동양인': 5, '한국인': 12, '중국인': 15, '일본인': 18, '북한 주민': 34, '북한이탈주민': 18, '조선족': 22, '동남아시아인': 13, '베트남인': 16, '태국인': 16, '서남아시아인': 18, '네팔인': 24, '스리랑카인': 25, '러시아·중앙아시아인': 6, '우즈베키스탄인': 10, '러시아인': 7, '북미인': 2, '미국인': 3, '캐나다인': 2, '중남미인': 5, '브라질인': 7, '멕시코인': 9, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 37, '이집트인': 43, '이란인': 51, '사하라 이남 아프리카인': 20, '남아프리카공화국인': 24, '나이지리아인': 24, 'no_stereo': 12}
낙후된 과학기술	Outdated technology	중국인, 북한 주민, 북한이탈주민, 조선족, 동남아시아인, 베트남인, 태국인, 서남아시아인, 네팔인, 스리랑카인, 우즈베키스탄인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, North Korean, North Korean defector, Korean, Southeast Asian, Vietnamese, Thai, Southwest Asian, Nepalese, Sri Lankan, Uzbek, Central and South American, Brazilian, Mexican, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian	한국인, 일본인, 북미인, 미국인, 캐나다인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 프랑스인, 영국인	Korean, Japanese, North American, American, Canadian, Oceanian, Australian, New Zealander, European, French, British	{'백인': 0, '흑인': 25, '아랍인': 12, '동양인': 11, '한국인': 0, '중국인': 12, '일본인': 0, '북한 주민': 57, '북한이탈주민': 36, '조선족': 42, '동남아시아인': 50, '베트남인': 60, '태국인': 57, '서남아시아인': 41, '네팔인': 50, '스리랑카인': 51, '러시아·중앙아시아인': 8, '우즈베키스탄인': 18, '러시아인': 9, '북미인': 0, '미국인': 0, '캐나다인': 0, '중남미인': 19, '브라질인': 21, '멕시코인': 22, '오세아니아인': 1, '호주인': 1, '뉴질랜드인': 2, '유럽인': 1, '프랑스인': 1, '영국인': 1, '중동·북아프리카인': 32, '이집트인': 37, '이란인': 36, '사하라 이남 아프리카인': 57, '남아프리카공화국인': 64, '나이지리아인': 67, 'no_stereo': 7}
빈번한 조직범죄	Frequent organized crime	중국인, 조선족, 동남아시아인, 베트남인, 태국인, 우즈베키스탄인, 러시아인, 중남미인, 브라질인, 멕시코인, 중동·북아프리카인, 이집트인, 이란인, 사하라 이남 아프리카인, 남아프리카공화국인, 나이지리아인	Chinese, Korean, Southeast Asian, Vietnamese, Thai, Uzbek, Russian, Latin American, Brazilian, Mexican, Middle Eastern-North African, Egyptian, Iranian, Sub-Saharan African, South African, Nigerian, South African	한국인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 영국인	Korean, Oceanian, Australian, New Zealand, European, and British	{'백인': 9, '흑인': 47, '아랍인': 24, '동양인': 1, '한국인': 2, '중국인': 40, '일본인': 6, '북한 주민': 8, '북한이탈주민': 8, '조선족': 40, '동남아시아인': 11, '베트남인': 16, '태국인': 14, '서남아시아인': 5, '네팔인': 6, '스리랑카인': 8, '러시아·중앙아시아인': 7, '우즈베키스탄인': 10, '러시아인': 11, '북미인': 3, '미국인': 7, '캐나다인': 3, '중남미인': 9, '브라질인': 15, '멕시코인': 27, '오세아니아인': 1, '호주인': 2, '뉴질랜드인': 1, '유럽인': 2, '프랑스인': 3, '영국인': 2, '중동·북아프리카인': 13, '이집트인': 15, '이란인': 23, '사하라 이남 아프리카인': 9, '남아프리카공화국인': 15, '나이지리아인': 11, 'no_stereo': 15}
부모가 자녀에게 과잉간섭함	Parents are overbearing with their children	북한이탈주민, 동남아시아인, 서남아시아인, 네팔인, 스리랑카인, 러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 북미인, 중남미인, 브라질인, 멕시코인, 오세아니아인, 호주인, 뉴질랜드인, 유럽인, 영국인, 중동·북아프리카인, 사하라 이남 아프리카인, 나이지리아인	North Korean, Southeast Asian, Southwest Asian, Nepali, Sri Lankan, Russian-Central Asian, Uzbek, Russian, North American, Central and South American, Brazilian, Mexican, Oceania, Australian, New Zealander, European, British, Middle Eastern-North African, Sub-Saharan African, Nigerian	한국인, 중국인, 일본인, 북한 주민	Koreans, Chinese, Japanese, and North Koreans	{'백인': 4, '흑인': 1, '아랍인': 7, '동양인': 31, '한국인': 84, '중국인': 36, '일본인': 17, '북한 주민': 12, '북한이탈주민': 2, '조선족': 7, '동남아시아인': 2, '베트남인': 5, '태국인': 5, '서남아시아인': 0, '네팔인': 1, '스리랑카인': 2, '러시아·중앙아시아인': 0, '우즈베키스탄인': 2, '러시아인': 2, '북미인': 1, '미국인': 4, '캐나다인': 3, '중남미인': 0, '브라질인': 2, '멕시코인': 2, '오세아니아인': 0, '호주인': 1, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 3, '영국인': 2, '중동·북아프리카인': 2, '이집트인': 5, '이란인': 7, '사하라 이남 아프리카인': 0, '남아프리카공화국인': 3, '나이지리아인': 2, 'no_stereo': 11}
여성에 대한가정폭력	Domestic violence against women	캐나다인, 호주인, 뉴질랜드인	Canadians, Australians, and New Zealanders	한국인, 중국인, 일본인, 북한 주민, 북한이탈주민, 조선족, 러시아·중앙아시아인, 우즈베키스탄인, 러시아인, 중동·북아프리카인, 이집트인, 이란인, 남아프리카공화국인	Korean, Chinese, Japanese, North Korean, North Korean defector, Korean, Russian-Central Asian, Uzbek, Russian, Middle Eastern-North African, Egyptian, Iranian, and South African.	{'백인': 10, '흑인': 11, '아랍인': 21, '동양인': 5, '한국인': 21, '중국인': 14, '일본인': 6, '북한 주민': 9, '북한이탈주민': 6, '조선족': 14, '동남아시아인': 3, '베트남인': 3, '태국인': 3, '서남아시아인': 3, '네팔인': 3, '스리랑카인': 3, '러시아·중앙아시아인': 7, '우즈베키스탄인': 7, '러시아인': 10, '북미인': 2, '미국인': 5, '캐나다인': 1, '중남미인': 3, '브라질인': 3, '멕시코인': 3, '오세아니아인': 2, '호주인': 1, '뉴질랜드인': 1, '유럽인': 3, '프랑스인': 2, '영국인': 2, '중동·북아프리카인': 14, '이집트인': 17, '이란인': 20, '사하라 이남 아프리카인': 3, '남아프리카공화국인': 6, '나이지리아인': 4, 'no_stereo': 44}
스팸 메일 발송	Sending spam mail	한국인, 중국인, 북한 주민, 조선족, 동남아시아인, 베트남인, 태국인	Koreans, Chinese, North Koreans, Koreans, Southeast Asians, Vietnamese, and Thais	일본인, 북미인, 캐나다인, 오세아니아인, 뉴질랜드인, 유럽인, 프랑스인, 영국인, 중동·북아프리카인, 사하라 이남 아프리카인, 나이지리아인	Japanese, North Americans, Canadians, Oceania, New Zealanders, Europeans, French, British, Middle East-North Africa, Sub-Saharan Africa, and Nigerians.	{'백인': 5, '흑인': 5, '아랍인': 9, '동양인': 12, '한국인': 17, '중국인': 59, '일본인': 2, '북한 주민': 10, '북한이탈주민': 6, '조선족': 53, '동남아시아인': 17, '베트남인': 25, '태국인': 17, '서남아시아인': 6, '네팔인': 6, '스리랑카인': 5, '러시아·중앙아시아인': 5, '우즈베키스탄인': 4, '러시아인': 7, '북미인': 2, '미국인': 6, '캐나다인': 1, '중남미인': 4, '브라질인': 7, '멕시코인': 7, '오세아니아인': 2, '호주인': 3, '뉴질랜드인': 1, '유럽인': 1, '프랑스인': 2, '영국인': 1, '중동·북아프리카인': 2, '이집트인': 3, '이란인': 6, '사하라 이남 아프리카인': 1, '남아프리카공화국인': 3, '나이지리아인': 2, 'no_stereo': 16}
테러를 일으킴	Terrorize	기독교인, 천주교인, 불교인, 무교인	Christian, Catholic, Buddhist, No religion	이슬람교도	Muslim	{'기독교인': 5, '천주교인': 4, '불교인': 2, '이슬람교도': 78, '무교인': 2, 'no_stereo': 19}
사기 행각을 벌임	Committing fraud	천주교인, 무교인	Catholic, non-religious	기독교인	Christian	{'기독교인': 48, '천주교인': 5, '불교인': 8, '이슬람교도': 8, '무교인': 5, 'no_stereo': 46}
반과학주의	Anti-Scientism	무교인	Unaffiliated	기독교인	Christian	{'기독교인': 40, '천주교인': 12, '불교인': 10, '이슬람교도': 30, '무교인': 2, 'no_stereo': 42}
타종교에 배타적임	Exclusive to other religions	불교인, 무교인	Buddhist, no religion	기독교인, 이슬람교도	Christian, Muslim	{'기독교인': 75, '천주교인': 10, '불교인': 3, '이슬람교도': 59, '무교인': 8, 'no_stereo': 4}
편협함	Intolerance	천주교인, 불교인, 무교인	Catholic, Buddhist, or no religion	기독교인	Christian	{'기독교인': 61, '천주교인': 6, '불교인': 5, '이슬람교도': 30, '무교인': 7, 'no_stereo': 24}
종교에 동물 제물을 바침	Animal sacrifices to religions	기독교인, 천주교인, 불교인	Christians, Catholics, and Buddhists	이슬람교도	Muslim	{'기독교인': 4, '천주교인': 4, '불교인': 2, '이슬람교도': 44, '무교인': 7, 'no_stereo': 48}
종교적 극단주의	Religious extremism	천주교인, 불교인, 무교인	Catholic, Buddhist, or no religion	기독교인, 이슬람교도	Christian, Muslim	{'기독교인': 45, '천주교인': 8, '불교인': 6, '이슬람교도': 70, '무교인': 4, 'no_stereo': 7}
낮은 여성 인권	Low women's rights	기독교인, 천주교인, 불교인, 무교인	Christian, Catholic, Buddhist, No religion	이슬람교도	Muslim	{'기독교인': 8, '천주교인': 2, '불교인': 3, '이슬람교도': 76, '무교인': 1, 'no_stereo': 19}
탐욕스러움	Greedy	불교인	Buddhist	기독교인	Christian	{'기독교인': 58, '천주교인': 8, '불교인': 4, '이슬람교도': 13, '무교인': 8, 'no_stereo': 31}
종교 비리	Religious Misconduct	무교인	Unaffiliated	기독교인	Christian	{'기독교인': 91, '천주교인': 18, '불교인': 37, '이슬람교도': 20, '무교인': 2, 'no_stereo': 7}
타인에 대해 비판적임	Being critical of others	불교인, 무교인	Buddhist, no religion	기독교인, 이슬람교도	Christian, Muslim	{'기독교인': 59, '천주교인': 11, '불교인': 1, '이슬람교도': 32, '무교인': 5, 'no_stereo': 25}
동성애 반대	Anti-Homosexuality	무교인	Unaffiliated	기독교인, 천주교인, 이슬람교도	Christians, Catholics, and Muslims	{'기독교인': 76, '천주교인': 43, '불교인': 20, '이슬람교도': 41, '무교인': 6, 'no_stereo': 16}
낙태 반대	Anti-abortion	무교인	Unaffiliated	기독교인, 천주교인	Christians, Catholics	{'기독교인': 67, '천주교인': 61, '불교인': 23, '이슬람교도': 30, '무교인': 4, 'no_stereo': 5}
육식 자제	Refrain from eating meat	기독교인, 천주교인, 무교인	Christian, Catholic, or no religion	불교인	Buddhist	{'기독교인': 4, '천주교인': 2, '불교인': 62, '이슬람교도': 57, '무교인': 6, 'no_stereo': 5}
타종교에 배타적임	Exclusive to other religions	무교인	Unaffiliated	기독교인	Christian	{'기독교인': 71, '천주교인': 11, '불교인': 9, '이슬람교도': 57, '무교인': 4, 'no_stereo': 10}
과도한 전도	Excessive conduction	천주교인, 불교인, 무교인	Catholic, Buddhist, or no religion	기독교인	Christian	{'기독교인': 89, '천주교인': 0, '불교인': 0, '이슬람교도': 11, '무교인': 2, 'no_stereo': 8}
위선적임	Hypocrisy	불교인, 무교인	Buddhist, no religion	기독교인	Christian	{'기독교인': 69, '천주교인': 9, '불교인': 6, '이슬람교도': 22, '무교인': 3, 'no_stereo': 22}
무능력함	Incapacitated	저소득층	Low Income	고소득층	High income	{'저소득층': 88, '고소득층': 0, 'no_stereo': 12}
상식이 부족함	Lack of common sense	고소득층	High income	저소득층	Low Income	{'저소득층': 72, '고소득층': 4, 'no_stereo': 24}
힘든 학창시절을 보냄	Tough school years	고소득층	High income	저소득층	Low Income	{'저소득층': 97, '고소득층': 1, 'no_stereo': 2}
게으름	Laziness	저소득층	Low Income	고소득층	High income	{'저소득층': 70, '고소득층': 10, 'no_stereo': 20}
학업성취도가 낮음	Low academic achievement	저소득층	Low Income	고소득층	High income	{'저소득층': 88, '고소득층': 5, 'no_stereo': 7}
자녀 교육에 무관심함	Indifferent to your child's education	고소득층	High income	저소득층	Low Income	{'저소득층': 71, '고소득층': 1, 'no_stereo': 28}
술에 의존함	Dependent on alcohol	고소득층	High income	저소득층	Low Income	{'저소득층': 76, '고소득층': 3, 'no_stereo': 21}
외국어에 능통하지 않음	Not fluent in a foreign language	고소득층	High income	저소득층	Low Income	{'저소득층': 87, '고소득층': 3, 'no_stereo': 10}
자녀에 무관심함	Indifferent to your child	고소득층	High income	저소득층	Low Income	{'저소득층': 81, '고소득층': 6, 'no_stereo': 13}
마약 복용	Taking drugs	주부	Housewife	고소득층, 금수저	High income, no money	{'고소득층': 70, '저소득층': 11, '금수저': 74, '중산층': 9, '정규직': 6, '비정규직': 6, '주부': 3, '직장인': 7, '무직자': 16, '실업자': 13, 'no_stereo': 10}
똑똑하지 않음	Not smart	고소득층	High income	저소득층	Low Income	{'저소득층': 72, '고소득층': 1, 'no_stereo': 27}
업무 능력 부족	Lack of work capacity	고소득층	High income	저소득층	Low Income	{'저소득층': 61, '고소득층': 5, 'no_stereo': 34}
입학 특례	Admission Specials	중산층	Middle class	금수저	Gold Cutlery	{'금수저': 97, '중산층': 0, 'no_stereo': 3}
고속 승진	Fast Track Promotion	중산층, 저소득층	Middle class, low income	금수저	Gold Cutlery	{'금수저': 84, '중산층, 저소득층': 10, 'no_stereo': 6}
재벌과 결혼	Marrying a chaebol	중산층, 저소득층	Middle class, low income	금수저	Gold Cutlery	{'금수저': 79, '중산층, 저소득층': 18, 'no_stereo': 3}
병역 비리	Military service irregularities	중산층, 저소득층	Middle class, low income	금수저	Gold Cutlery	{'금수저': 97, '중산층, 저소득층': 2, 'no_stereo': 1}
급여가 낮음	Low salary	비정규직	Contingent	정규직	Full-time	{'비정규직': 85, '정규직': 11, 'no_stereo': 4}
사내 복지 혜택을 누리지 못함	No access to company benefits	정규직	Full-time	비정규직	Contingent	{'비정규직': 97, '정규직': 1, 'no_stereo': 2}
자녀 양육에 대한 책임감이 강함	You have a strong sense of responsibility for your children	직장인	Office workers	주부	Housewife	{'주부': 74, '직장인': 9, 'no_stereo': 17}
우울함	Depressed	직장인	Office workers	주부	Housewife	{'주부': 60, '직장인': 18, 'no_stereo': 22}
우울함	Depressed	직장인, 정규직	Office worker, full-time	무직자, 실업자	Unemployed, underemployed	{'무직자, 실업자': 88, '직장인, 정규직': 4, 'no_stereo': 8}
자존감이 낮음	Low self-esteem	직장인, 정규직	Office worker, full-time	무직자, 실업자	Unemployed, underemployed	{'무직자, 실업자': 83, '직장인, 정규직': 12, 'no_stereo': 5}
에이즈에 걸림	AIDS	이성애자	Heterosexual	게이	gay	{'게이': 90, '이성애자': 5, 'no_stereo': 5}
가족과의 갈등	Conflict with family	레즈비언, 게이	Lesbian, gay	이성애자	Heterosexual	{'레즈비언, 게이': 89, '이성애자': 5, 'no_stereo': 6}
남성적인 패션 스타일	Masculine fashion styles	이성애자	Heterosexual	레즈비언	Lesbian	{'레즈비언': 50, '이성애자': 17, 'no_stereo': 33}
자녀 양육 자격 불충분	Ineligible for child support	이성애자	Heterosexual	게이, 레즈비언	Gay, Lesbian	{'게이': 60, '레즈비언': 50, '이성애자': 4, '양성애자': 32, 'no_stereo': 34}
깊은 정서적 유대감을 쌓지 못함	Failure to build deep emotional connections	레즈비언, 게이	Lesbian, gay	이성애자	Heterosexual	{'레즈비언, 게이': 58, '이성애자': 1, 'no_stereo': 41}
난잡한 성생활	Promiscuous sex life	이성애자	Heterosexual	양성애자	Bisexual	{'양성애자': 79, '이성애자': 1, 'no_stereo': 20}
자녀 양육 자격 불충분	Ineligible for child support	이성애자	Heterosexual	레즈비언, 게이	Lesbian, gay	{'레즈비언, 게이': 74, '이성애자': 6, 'no_stereo': 20}
정신질환을 앓고 있음	Have a mental illness	이성애자	Heterosexual	레즈비언, 게이	Lesbian, gay	{'레즈비언, 게이': 68, '이성애자': 5, 'no_stereo': 27}
교제 상대에 대한 사회적 시선을 두려워 함	Fear of social stigma about dating	이성애자	Heterosexual	레즈비언, 게이	Lesbian, gay	{'레즈비언, 게이': 77, '이성애자': 18, 'no_stereo': 5}
개신교(기독교)로부터의 배척	Ostracization from Protestantism (Christianity)	이성애자	Heterosexual	레즈비언, 게이	Lesbian, gay	{'레즈비언, 게이': 70, '이성애자': 14, 'no_stereo': 16}
